bedrooms,bathrooms,area,lot_size,floors,year_built,garage,fireplace,renovated,neighborhood,distance_city,price
5,5.0,3930,5646.0,1,1971,1,0,0,1,6.89,1132407.0
3,3.0,2057,9467.0,2,2012,1,0,0,1,2.08,702630.0
3,3.0,2681,6050.0,2,1986,1,1,0,1,3.82,878601.0
5,5.0,4285,4289.0,2,1998,1,1,0,1,9.58,1097718.0
2,2.5,2102,6001.0,2,2021,1,0,1,1,11.17,718049.0
3,3.0,2232,1995.0,1,1965,1,0,0,1,1.74,698905.0
3,3.0,2415,3786.0,1,1923,1,0,0,1,1.36,715285.0
4,4.0,3259,2732.0,1,2002,1,0,0,1,3.57,970100.0
5,5.0,3282,1685.0,2,2017,1,0,1,1,1.45,998026.0
4,4.5,3205,1977.0,1,2005,1,0,0,1,0.68,959153.0
3,3.5,3230,3687.0,1,1937,1,1,1,0,15.39,871978.0
5,5.0,4120,3123.0,1,1977,0,0,1,1,6.7,1071537.0
6,5.0,3901,2873.0,2,1920,1,0,0,1,11.03,1045529.0
4,5.0,3411,2544.0,1,1900,1,0,0,0,16.78,835031.0
3,4.0,1656,5834.0,1,2006,0,1,0,1,11.73,511676.0
5,5.0,3855,7375.0,2,2016,1,1,1,0,15.46,911821.0
4,4.0,2498,2489.0,2,1972,0,1,0,1,1.34,742983.0
4,4.0,3199,1790.0,2,1947,1,1,0,0,15.19,801636.0
4,4.5,3562,2451.0,1,1990,1,1,0,0,19.64,871060.0
4,4.5,3512,2208.0,2,1905,1,1,0,1,5.4,1049403.0
3,3.0,2103,5863.0,2,2015,0,1,1,0,12.96,648600.0
5,5.0,2863,3418.0,1,1984,1,0,1,1,3.42,875724.0
3,3.0,1926,1714.0,2,1904,0,1,0,0,20.07,438055.0
3,3.0,1883,5223.0,2,2005,1,1,0,1,2.14,581089.0
3,3.0,2332,9108.0,1,1952,1,1,0,1,6.88,756757.0
5,5.0,3895,2378.0,2,1923,1,1,0,1,6.05,1096237.0
4,4.5,3073,1664.0,1,1953,0,0,0,0,13.46,754999.0
5,5.0,4220,1905.0,2,1990,0,1,0,1,7.54,1104711.0
4,4.5,2996,5788.0,1,2020,1,0,1,0,24.42,916242.0
4,5.0,3448,2005.0,1,1982,1,0,0,0,10.49,837167.0
3,3.5,2307,5606.0,3,2013,1,0,0,1,10.8,719879.0
2,3.0,1404,4219.0,1,1997,1,1,0,1,4.21,518564.0
3,3.0,2685,4329.0,1,1921,1,1,0,0,16.36,651043.0
4,4.0,2886,5196.0,1,2002,1,0,0,0,7.49,774110.0
1,1.0,669,2089.0,1,1970,1,1,0,1,3.4,292435.0
2,2.0,1671,2060.0,3,2001,1,1,0,1,2.54,561912.0
3,3.0,2129,10683.0,2,2005,1,0,0,1,10.38,631648.0
5,5.0,3965,7428.0,1,1934,1,0,0,0,13.46,1089030.0
3,3.0,2536,4344.0,1,1960,1,0,0,1,4.15,844525.0
5,5.0,3408,3357.0,2,1949,1,1,1,1,5.82,977197.0
4,5.0,2906,5624.0,1,1992,1,0,0,1,9.16,918325.0
5,5.0,3739,10781.0,2,1982,1,0,1,0,17.54,1047784.0
4,4.5,3132,7229.0,1,1963,1,0,0,1,4.03,922438.0
4,4.0,3238,1826.0,1,1993,1,1,0,1,10.41,863663.0
1,1.0,1163,2139.0,1,2013,1,1,0,1,1.9,496234.0
3,4.0,2276,7987.0,1,2021,0,0,1,1,2.79,740486.0
3,3.0,2843,2532.0,1,1988,0,1,0,0,21.49,745055.0
5,5.0,3569,2278.0,1,2016,1,1,1,1,6.62,996953.0
4,4.5,2936,5705.0,1,1979,1,0,1,0,9.19,891495.0
3,3.5,2332,6026.0,1,1992,1,0,0,0,18.59,594669.0
5,5.0,4318,5649.0,3,1920,1,0,1,1,5.9,1207495.0
2,2.0,1654,8254.0,2,1912,0,0,0,0,9.94,512354.0
3,3.5,2694,2680.0,2,1972,0,1,0,1,6.8,830027.0
3,3.5,2760,2006.0,1,1920,0,0,1,1,7.61,769833.0
2,2.0,1334,5123.0,2,1911,0,0,0,1,2.41,569050.0
2,3.0,1753,1828.0,2,1988,1,1,0,1,4.64,544681.0
4,4.5,3997,13127.0,1,1980,1,1,0,1,6.27,1167640.0
3,3.0,2697,2971.0,1,1922,0,0,0,1,9.73,814358.0
5,5.0,3463,4415.0,2,1931,1,1,0,1,5.37,1037801.0
3,3.5,2803,3375.0,2,1930,1,1,0,1,3.86,843100.0
2,2.0,734,2211.0,1,1942,1,0,1,1,5.19,411427.0
3,3.5,2299,5246.0,1,1961,1,0,0,0,10.98,634179.0
5,5.0,4773,4139.0,1,2004,1,0,0,1,12.69,1169627.0
3,3.0,2819,3879.0,2,2017,1,1,1,0,11.03,795547.0
3,3.0,2379,1683.0,1,1900,1,0,0,0,16.79,608174.0
5,5.0,3932,6921.0,1,2010,1,0,0,1,10.42,1122417.0
5,5.0,3758,2709.0,2,1938,0,1,0,1,9.15,935358.0
4,4.0,2442,3291.0,2,1914,1,1,0,0,17.11,592295.0
3,3.5,2759,4244.0,2,2016,1,0,1,0,12.03,772887.0
5,5.0,3232,2290.0,1,2010,0,0,1,0,14.76,865823.0
2,2.0,2087,3104.0,2,1999,1,0,0,1,5.77,752848.0
3,3.5,2715,1961.0,1,1986,1,1,0,0,22.48,703884.0
3,3.5,2819,1819.0,1,1920,1,1,0,0,20.97,713660.0
2,2.0,1866,2520.0,1,2022,1,1,1,1,6.56,612088.0
1,2.0,600,4316.0,3,2008,1,1,0,1,2.71,466468.0
4,4.5,2460,1878.0,1,1967,0,1,0,1,6.34,705419.0
5,5.0,3999,9659.0,2,1970,0,0,1,1,1.65,1136499.0
4,4.0,2748,1765.0,2,2010,1,1,0,1,4.88,824543.0
5,5.0,3307,5349.0,2,2009,1,0,0,1,4.49,989779.0
4,4.0,3193,2432.0,1,2003,1,1,0,0,9.44,888327.0
5,5.0,4006,2071.0,1,2016,1,1,1,1,2.05,979527.0
4,4.0,3286,8431.0,1,1973,1,1,0,1,9.16,1016732.0
6,5.0,4839,5366.0,3,2003,1,0,0,1,9.67,1222328.0
5,5.0,3696,3993.0,2,1918,1,1,0,1,8.89,1005694.0
5,5.0,3953,2742.0,2,1968,1,1,0,0,11.6,1036175.0
2,3.0,1418,7082.0,1,1982,1,1,0,1,5.79,539829.0
4,5.0,3278,6886.0,1,1968,0,0,0,0,13.42,987137.0
3,3.5,2749,3569.0,2,2020,1,1,1,1,10.85,880333.0
3,3.0,2484,4175.0,1,1980,1,1,0,0,11.74,661862.0
3,3.0,2362,2561.0,1,2020,0,1,1,0,18.14,613041.0
3,4.0,1987,1750.0,1,2011,0,1,0,0,13.09,551889.0
3,3.5,2734,1501.0,1,2000,1,0,1,1,12.44,753693.0
3,3.0,2007,2847.0,2,1931,1,0,0,1,2.49,708347.0
3,4.0,2832,4306.0,1,1927,0,0,0,0,19.42,803556.0
2,2.0,1806,5725.0,1,1959,0,0,0,0,15.96,449399.0
3,4.0,3090,5382.0,1,1975,1,1,0,0,19.25,898733.0
5,5.0,3763,3091.0,1,2018,1,0,1,1,6.54,1009278.0
5,5.0,3799,17382.0,1,2021,1,0,1,1,10.0,1183687.0
4,4.5,3442,2300.0,1,1958,1,0,0,1,10.25,954640.0
5,5.0,3887,3554.0,2,2011,1,0,1,1,9.48,1110396.0
3,3.0,2055,4624.0,2,1954,1,0,0,1,2.8,680176.0
5,5.0,3784,2102.0,1,1989,1,0,0,0,14.2,1011627.0
6,5.0,4022,5979.0,2,2013,1,1,0,0,11.32,1161878.0
4,4.0,2357,2958.0,3,1982,1,1,1,0,17.37,723189.0
3,3.0,2194,2088.0,2,1967,0,0,0,1,1.69,613181.0
5,5.0,4177,7195.0,2,1976,1,0,0,0,16.37,1007105.0
3,3.0,2102,1536.0,2,1996,1,0,0,1,0.5,779405.0
3,3.0,2108,1600.0,1,1970,1,1,0,0,23.9,600442.0
3,3.5,2892,2008.0,1,1939,1,0,0,1,2.03,892014.0
4,4.5,3790,6068.0,2,1945,1,0,0,1,4.49,1156217.0
5,5.0,3739,3034.0,1,1951,0,1,0,1,15.28,890919.0
4,4.0,3201,4767.0,1,1937,1,1,0,1,2.6,967999.0
4,4.0,2631,3538.0,1,1995,1,0,0,1,3.62,783360.0
3,3.0,1389,8433.0,1,2002,0,0,0,1,12.15,558906.0
5,5.0,3600,5441.0,3,1900,1,1,0,0,19.19,926741.0
4,4.5,3260,2307.0,1,1982,1,0,0,0,17.59,796115.0
3,3.5,2666,3693.0,1,1963,1,1,0,1,3.86,825807.0
4,4.5,3054,3223.0,1,1988,1,0,0,1,6.14,826938.0
3,3.5,2045,2693.0,2,2001,0,1,0,0,8.27,548254.0
4,4.0,3260,3769.0,1,1972,1,0,0,1,3.12,934874.0
2,2.0,1432,1659.0,2,1956,1,0,0,1,8.29,388446.0
6,5.0,4031,3524.0,1,1965,1,1,1,0,11.65,983786.0
3,3.5,2842,2503.0,2,2010,1,0,0,0,20.19,634123.0
5,5.0,3630,3504.0,2,1925,1,1,0,1,6.45,1068100.0
2,2.0,1826,2381.0,2,1956,1,1,0,1,7.07,538113.0
4,4.5,2966,1604.0,1,2015,0,1,1,0,19.82,731296.0
1,1.0,600,4124.0,2,1967,0,0,0,1,3.74,323380.0
4,4.5,3171,3327.0,2,1969,1,0,0,1,1.72,951675.0
4,4.5,3490,5942.0,2,1928,1,0,0,0,15.44,785820.0
5,5.0,3281,2213.0,2,1988,1,0,0,1,2.01,1033745.0
3,3.5,1711,2652.0,1,2002,1,0,0,1,3.12,499507.0
3,4.0,3054,2051.0,1,1906,1,1,0,1,8.58,880363.0
6,5.0,4714,7797.0,2,1903,0,0,0,0,20.73,1199319.0
4,4.0,2295,1893.0,1,1926,0,1,0,0,18.17,485814.0
4,4.0,2621,2721.0,1,2012,1,1,0,1,8.76,906866.0
3,3.0,1758,2020.0,1,1919,1,0,0,1,4.6,620640.0
5,5.0,3776,1935.0,1,1987,1,1,1,1,12.64,1139033.0
4,4.5,3404,1966.0,2,2000,1,0,0,1,8.23,904953.0
3,3.0,2197,1577.0,1,2016,1,1,1,0,13.15,562933.0
4,4.0,2830,2607.0,2,1991,1,0,0,1,5.91,911891.0
4,4.0,2821,4351.0,1,1918,1,0,0,1,1.94,822578.0
3,4.0,2471,3084.0,2,1977,1,0,0,1,9.85,708611.0
3,3.5,2374,3926.0,1,1991,1,0,0,1,4.25,807559.0
4,4.0,3246,3367.0,2,1910,1,0,0,0,19.01,768391.0
5,5.0,4148,4023.0,2,2011,1,0,0,1,12.52,1010061.0
3,3.0,2275,5941.0,2,1965,1,0,0,1,2.73,776799.0
3,4.0,2416,1626.0,1,2006,1,0,0,1,11.86,733972.0
1,1.0,600,3150.0,1,2016,0,0,1,0,15.52,250000.0
3,3.0,2439,3872.0,2,1939,1,1,0,1,11.3,688149.0
3,3.5,2070,3505.0,3,1976,1,1,0,1,12.02,602075.0
5,5.0,2685,1982.0,2,1986,1,1,0,1,3.18,807794.0
2,2.5,1574,3667.0,1,2017,1,1,1,0,19.23,441668.0
1,2.0,1214,2740.0,2,1902,1,1,0,1,14.97,483858.0
5,5.0,3424,3701.0,1,1967,1,1,1,1,10.73,987964.0
3,3.5,3005,3034.0,2,1969,1,0,0,1,7.26,800532.0
1,1.5,1041,1644.0,2,1960,1,0,0,1,2.88,405853.0
4,4.0,3125,1620.0,1,1951,1,0,0,0,11.11,811841.0
6,5.0,4112,1927.0,1,2009,1,0,0,0,11.8,1127771.0
5,5.0,3528,8452.0,1,1919,0,1,0,1,7.15,1141339.0
4,4.0,2969,2903.0,2,1998,1,0,0,1,3.8,857160.0
2,2.0,1549,2935.0,1,1952,0,0,0,0,17.18,362647.0
3,3.5,1328,3100.0,2,1973,1,0,0,1,8.94,596478.0
4,4.0,2747,1757.0,2,1943,0,1,0,0,15.8,729896.0
3,4.0,2960,3202.0,1,1997,1,0,0,1,12.26,932965.0
5,5.0,3678,1933.0,2,2007,0,1,0,0,13.11,968909.0
1,1.5,1024,2064.0,1,1980,1,1,0,1,9.85,356371.0
5,5.0,4027,1935.0,1,1957,1,0,0,0,8.97,1107769.0
4,4.5,3409,4579.0,2,1968,1,1,0,1,10.28,927594.0
2,2.0,1836,12423.0,1,2022,1,1,1,0,21.15,630312.0
5,5.0,3606,2020.0,2,1922,1,1,0,1,3.83,990819.0
4,4.0,2194,4119.0,3,1988,1,0,0,1,5.42,744687.0
3,3.0,2591,8399.0,1,1908,1,0,1,1,3.81,908373.0
2,2.5,1233,6256.0,1,2017,0,1,1,0,13.74,453314.0
3,3.5,2209,1620.0,3,2023,1,1,1,1,3.15,655011.0
5,5.0,3892,3943.0,1,1961,1,1,0,1,6.93,1041742.0
3,3.0,2311,2582.0,1,1964,1,1,0,0,18.73,630006.0
3,3.0,1370,7007.0,2,1910,0,1,0,0,12.99,434850.0
3,3.5,1891,1592.0,2,1917,1,0,0,1,5.67,571198.0
3,3.0,2874,8386.0,2,1996,1,1,0,1,6.31,899762.0
4,4.0,2417,9036.0,2,1972,1,0,0,0,21.35,655593.0
3,3.5,2599,4879.0,1,1972,1,1,0,1,7.17,806918.0
3,3.0,1405,1694.0,1,1996,0,1,0,1,2.8,632800.0
6,5.0,4609,2152.0,1,1952,0,1,0,1,3.36,1239899.0
3,3.0,2400,1608.0,2,2022,1,1,1,1,3.41,796887.0
3,4.0,2169,3639.0,3,1942,1,1,0,0,19.14,597419.0
4,4.5,3535,1610.0,1,1981,0,1,0,1,8.29,916112.0
5,5.0,3909,4630.0,2,1978,1,0,0,1,5.4,1089755.0
5,5.0,3420,8637.0,1,1955,0,0,0,1,6.01,942345.0
3,3.0,2839,4074.0,2,1980,1,0,0,1,5.7,842009.0
4,4.0,2692,1648.0,1,1959,0,0,0,0,13.37,657936.0
4,5.0,2496,3672.0,1,1984,0,1,0,1,9.14,848766.0
3,4.0,2863,11012.0,1,1934,0,1,0,0,6.63,879843.0
4,4.0,2451,3312.0,1,1954,0,1,0,1,9.17,798690.0
4,4.5,2478,2953.0,1,2004,1,1,1,1,8.65,802085.0
4,4.0,2557,7332.0,2,1997,1,1,0,1,5.29,782856.0
4,4.0,1872,4694.0,2,1906,0,0,0,1,1.35,613242.0
3,3.0,1869,2478.0,2,1988,1,1,0,1,9.43,643579.0
2,2.0,667,2677.0,1,2007,1,1,0,1,7.2,283136.0
3,3.0,2063,4610.0,1,1956,1,0,0,1,3.86,704852.0
4,4.0,3141,2836.0,2,1989,1,1,0,1,8.24,807049.0
4,4.0,3004,2956.0,2,1996,1,1,0,1,11.43,850852.0
4,4.0,3076,5803.0,2,2009,1,0,0,1,6.25,855417.0
1,1.0,600,1779.0,2,1916,1,1,0,1,7.89,411706.0
3,3.0,3072,5879.0,1,1997,1,0,0,1,4.28,942821.0
3,3.5,2470,3198.0,2,1954,1,1,0,1,2.02,720746.0
4,4.5,3547,3978.0,2,2014,0,1,0,1,3.68,990398.0
6,5.0,4217,5711.0,1,2004,0,1,0,1,2.97,1151770.0
3,3.0,2576,1624.0,2,1965,1,0,0,0,16.23,662446.0
2,2.5,1784,2167.0,2,2017,1,1,1,0,16.78,424486.0
3,3.5,2130,3608.0,2,2006,0,1,0,1,6.38,658312.0
5,5.0,3562,1631.0,1,1985,0,1,0,1,4.41,936254.0
5,5.0,2837,2785.0,2,1994,0,1,0,0,16.71,752582.0
5,5.0,3761,2206.0,1,2011,1,1,0,1,5.66,1014964.0
4,5.0,2875,2636.0,1,1971,1,0,0,1,9.17,744110.0
3,4.0,2237,2373.0,3,1949,1,0,0,1,4.58,649492.0
4,4.5,3015,11245.0,1,1929,0,0,0,0,14.55,867844.0
4,4.0,3634,8135.0,2,2023,1,0,1,0,12.54,970739.0
3,3.0,2234,7629.0,2,1975,1,1,0,0,22.28,653622.0
2,2.5,2531,5929.0,1,2015,1,0,1,1,5.52,814488.0
2,2.0,1576,2501.0,2,1966,1,1,0,1,3.47,484417.0
3,3.5,2203,3017.0,2,1954,1,0,0,0,21.34,568488.0
4,4.0,2750,3539.0,1,2022,1,1,1,1,3.75,812160.0
5,5.0,3849,2946.0,1,1989,0,1,0,1,9.91,1057416.0
3,4.0,2959,2343.0,3,1926,1,0,0,1,6.03,923216.0
4,5.0,3132,2524.0,2,1985,1,1,0,1,5.05,971229.0
3,3.0,2182,1771.0,2,1990,1,1,1,1,16.79,626021.0
5,5.0,2863,1613.0,1,2004,1,0,0,0,14.76,826981.0
4,4.5,2944,3133.0,2,1964,0,1,0,1,5.01,884191.0
3,3.0,2207,9459.0,2,2009,0,0,0,1,11.89,680484.0
4,4.5,4345,10024.0,2,2008,0,0,0,0,8.08,1136760.0
2,2.0,1483,2093.0,1,1957,1,1,0,1,4.05,533801.0
4,4.5,3526,4270.0,1,1946,1,1,0,1,6.16,1025100.0
4,4.5,3188,2987.0,1,1989,0,1,0,0,11.12,886075.0
3,3.0,2447,1687.0,1,2009,1,0,0,1,6.67,675029.0
4,5.0,3511,2346.0,2,1963,1,1,0,1,10.86,1022261.0
3,3.5,3059,4336.0,1,1965,1,1,0,0,19.82,810583.0
3,3.5,2440,10250.0,1,1902,1,1,0,1,7.48,840734.0
3,3.0,2055,2495.0,1,1998,1,0,0,0,19.27,536771.0
6,5.0,4223,5845.0,2,1993,1,1,0,1,9.16,1170103.0
3,3.0,1721,3942.0,2,1960,1,1,0,1,8.24,635627.0
3,3.0,2049,4991.0,1,1991,0,0,0,1,7.78,663064.0
3,4.0,1935,4656.0,1,1932,1,1,0,1,3.15,653130.0
2,2.5,1456,4533.0,2,1975,1,1,0,1,6.93,548596.0
3,3.5,2267,1908.0,1,2022,0,1,1,0,9.41,630797.0
3,4.0,2480,2222.0,1,2023,1,0,1,1,7.9,850208.0
5,5.0,3326,3715.0,2,1972,1,1,0,1,10.32,1000435.0
5,5.0,3410,1783.0,1,1910,1,1,0,1,3.19,1058096.0
4,5.0,2551,1605.0,2,1963,1,1,0,0,15.66,680760.0
5,5.0,3149,3018.0,2,1923,1,0,0,0,11.37,809419.0
4,4.0,2376,9399.0,1,1942,1,1,0,1,8.48,695223.0
4,4.5,3768,2236.0,2,2012,0,0,0,1,3.76,941836.0
4,4.0,2663,2848.0,1,1928,1,0,0,1,8.54,699359.0
4,4.0,2991,2134.0,1,1955,0,0,0,1,2.38,760367.0
5,5.0,3316,1663.0,1,1959,1,0,0,1,8.99,912925.0
3,4.0,2927,7856.0,2,1991,1,0,0,0,15.01,800585.0
4,4.0,3770,3747.0,2,1911,1,1,0,1,3.29,930706.0
4,4.5,3862,2121.0,1,1987,1,0,0,1,4.89,1062199.0
4,4.5,3375,3290.0,1,1977,1,0,0,0,23.85,816150.0
5,5.0,3324,2317.0,2,2004,1,1,0,0,17.12,861591.0
4,4.5,3896,2503.0,2,1974,1,1,0,0,11.34,952508.0
4,4.0,2470,2064.0,1,2005,1,0,1,0,15.21,686180.0
4,5.0,2942,4123.0,2,1994,1,0,0,0,11.81,783306.0
2,3.0,1756,3026.0,1,1947,1,1,0,0,9.82,607081.0
4,5.0,3943,1789.0,2,1990,0,1,1,1,11.4,978919.0
3,3.5,2445,6369.0,1,1954,1,0,0,0,19.89,669338.0
3,3.5,2300,2016.0,1,1953,1,0,0,0,20.95,526437.0
4,4.0,2840,3134.0,1,1949,1,1,0,1,16.72,814027.0
3,4.0,2091,1904.0,1,1988,1,1,0,0,20.4,543389.0
5,5.0,4138,3728.0,1,1974,1,0,0,0,11.3,1146604.0
4,5.0,3033,2430.0,2,1987,1,1,0,0,19.52,825766.0
4,4.0,3460,16645.0,1,2018,0,1,1,0,18.12,959853.0
3,3.0,2108,3885.0,3,1908,1,1,0,0,20.65,592804.0
3,4.0,2738,5782.0,2,1981,0,1,0,1,4.14,887778.0
6,5.0,4166,6260.0,1,1972,0,1,0,1,8.84,1225051.0
3,3.0,2069,1973.0,1,1968,1,1,0,1,6.27,705088.0
4,4.5,2556,3418.0,2,2013,1,0,0,1,13.02,704732.0
5,5.0,3714,2889.0,2,2019,1,1,1,1,8.41,1037677.0
2,3.0,1291,3068.0,1,1906,1,1,0,1,9.38,460990.0
5,5.0,3147,1991.0,2,2002,1,1,0,0,19.83,881172.0
2,3.0,1610,12420.0,1,1900,1,1,0,1,1.13,690232.0
4,4.0,3374,4063.0,3,2007,1,0,0,0,14.12,849814.0
4,5.0,3396,2206.0,2,1995,1,1,0,1,2.56,1029950.0
3,3.0,2407,1784.0,1,1943,1,0,0,0,4.87,661894.0
3,3.5,2474,1824.0,2,1982,1,1,0,1,13.48,658446.0
3,3.0,2411,5600.0,2,1942,0,0,0,0,10.56,669490.0
4,4.0,2936,5074.0,1,2015,1,1,1,1,7.88,915376.0
4,5.0,2998,5771.0,1,2014,1,0,0,1,10.15,972605.0
4,4.0,2737,7434.0,1,1936,1,0,0,0,17.51,834884.0
4,4.0,2906,1721.0,1,1985,1,1,0,0,14.59,809977.0
3,3.0,1514,2709.0,2,1995,1,1,0,1,1.96,565911.0
4,4.0,3034,2053.0,1,1994,1,1,0,1,7.32,813172.0
4,4.5,3887,1953.0,1,2021,1,1,1,1,10.18,1117588.0
4,4.0,3017,1525.0,1,1914,0,1,0,1,3.69,842134.0
3,3.0,2607,3116.0,2,2008,1,1,0,1,11.07,763125.0
6,5.0,3992,1503.0,3,1932,1,1,0,1,14.02,1170031.0
4,4.0,2377,2025.0,1,1936,1,1,0,0,17.66,673134.0
3,4.0,2540,3462.0,2,1960,1,0,0,1,5.91,768265.0
3,3.0,2603,4939.0,1,2018,1,1,1,1,7.81,791345.0
5,5.0,3564,3182.0,1,2018,1,0,1,1,3.35,1037164.0
3,4.0,2909,2588.0,3,1969,0,0,0,1,13.25,769093.0
3,3.0,2131,1988.0,1,2001,1,1,0,1,4.11,674647.0
2,2.5,1980,4058.0,2,2008,1,1,0,1,3.72,641041.0
3,3.5,1823,2715.0,1,1905,1,1,0,0,12.77,542974.0
4,4.5,3297,2578.0,2,2016,0,0,1,1,10.22,952662.0
1,1.5,600,3119.0,2,2023,1,1,1,0,10.86,270699.0
5,5.0,3891,2114.0,2,2006,1,0,0,0,12.99,1012124.0
4,4.5,2966,6552.0,1,1940,1,1,0,1,6.65,852851.0
4,4.0,2338,4184.0,2,1936,1,1,0,0,16.8,705420.0
6,5.0,3960,2082.0,1,2017,0,0,1,0,18.83,1032099.0
4,5.0,3929,6067.0,2,1979,1,1,0,1,15.81,951529.0
3,4.0,2350,8009.0,2,1921,1,0,0,0,6.63,669732.0
5,5.0,3152,1985.0,2,1928,0,0,0,1,9.75,900512.0
3,3.0,1884,4125.0,3,1921,0,0,0,0,13.8,481989.0
4,4.0,3432,1707.0,3,1984,0,0,0,1,2.07,1003451.0
4,4.0,2222,2722.0,1,1976,1,0,0,0,14.27,688004.0
3,3.0,3525,2361.0,1,2011,1,1,0,0,18.68,810806.0
3,3.5,2322,2336.0,1,1962,0,0,1,0,7.72,625080.0
3,3.5,1890,11408.0,2,1966,0,1,0,0,18.11,684121.0
4,4.0,3146,3378.0,2,1963,0,1,0,1,7.6,917074.0
4,4.5,2813,4591.0,2,2008,1,1,0,1,10.67,783290.0
4,5.0,4106,1626.0,2,1992,1,0,0,0,18.69,967999.0
4,4.5,3437,2514.0,2,1996,0,0,0,1,3.08,949452.0
4,4.0,3028,2073.0,2,1941,1,1,0,1,2.97,913780.0
