age,gender,frequent_flyer,flight_distance,departure_delay,arrival_delay,seat_comfort,in_flight_entertainment,food_service,onboard_service,baggage_handling,checkin_ease,wifi_connectivity,satisfaction
26,Male,No,693.0,27.0,24.0,2,5,4,2,4,3,2,1
32,Male,Yes,539.0,23.0,3.0,1,2,3,2,3,2,1,1
36,Male,Yes,3046.0,9.0,14.0,3,3,4,4,3,4,1,1
26,Female,Yes,2506.0,2.0,12.0,1,2,3,1,2,4,1,1
42,Male,No,411.0,35.0,2.0,5,4,4,2,4,4,4,4
43,Female,Yes,616.0,10.0,40.0,5,3,4,5,3,3,3,3
38,Female,Yes,263.0,26.0,0.0,2,3,4,1,3,3,4,1
37,Female,Yes,1913.0,6.0,1.0,1,2,3,2,5,3,1,1
49,Female,No,2152.0,2.0,8.0,1,3,2,1,1,2,4,1
25,Female,Yes,532.0,21.0,4.0,2,1,3,2,5,4,3,1
39,Male,No,2020.0,11.0,9.0,4,5,1,4,4,3,2,2
29,Male,No,2310.0,14.0,3.0,3,4,2,4,4,4,3,4
29,Male,No,2263.0,1.0,21.0,5,3,2,3,4,3,1,2
43,Female,No,564.0,0.0,9.0,3,3,1,2,3,5,1,2
34,Female,Yes,394.0,0.0,7.0,4,1,4,1,2,4,2,1
41,Male,No,2768.0,0.0,11.0,4,4,2,2,4,4,2,3
28,Female,Yes,206.0,21.0,1.0,5,5,3,4,3,3,3,3
25,Male,No,2954.0,11.0,25.0,5,3,4,3,2,4,4,2
33,Female,Yes,3019.0,49.0,19.0,3,4,1,3,3,5,1,1
32,Male,Yes,715.0,7.0,8.0,4,3,3,3,4,5,1,3
40,Male,Yes,2596.0,3.0,7.0,2,2,2,1,4,4,2,2
42,Male,No,2144.0,0.0,2.0,3,3,3,3,5,3,3,3
33,Female,No,287.0,1.0,7.0,3,3,3,2,1,2,4,1
45,Female,Yes,3239.0,2.0,36.0,3,4,2,2,5,5,2,3
46,Female,No,370.0,36.0,10.0,2,3,3,3,5,2,4,1
20,Male,Yes,2155.0,9.0,5.0,2,3,4,1,3,4,4,2
33,Male,Yes,638.0,35.0,13.0,3,2,4,1,3,4,3,1
49,Male,No,2707.0,10.0,4.0,5,4,4,4,1,2,1,4
39,Female,Yes,2664.0,2.0,12.0,3,2,5,2,4,3,2,2
56,Male,Yes,2662.0,5.0,10.0,3,2,4,5,5,4,3,4
40,Female,No,3206.0,4.0,1.0,4,3,4,2,3,2,4,3
29,Female,No,569.0,8.0,3.0,3,2,1,4,5,5,2,3
24,Female,No,371.0,14.0,15.0,2,4,4,3,5,3,3,1
24,Female,No,535.0,4.0,1.0,2,4,4,1,5,4,2,5
29,Male,No,3593.0,11.0,13.0,2,3,3,4,4,4,4,4
30,Female,Yes,1073.0,30.0,4.0,5,5,3,4,2,1,3,2
44,Male,Yes,448.0,0.0,4.0,5,5,2,5,3,2,3,5
32,Male,No,426.0,1.0,2.0,3,1,3,1,3,3,1,1
36,Male,No,471.0,20.0,15.0,4,4,5,5,2,2,4,3
53,Male,No,2394.0,19.0,3.0,1,2,3,1,3,5,1,2
25,Male,No,434.0,7.0,3.0,1,1,4,3,5,2,1,2
25,Female,No,321.0,10.0,15.0,4,5,1,2,3,2,3,1
25,Female,No,290.0,4.0,5.0,5,5,2,5,4,3,4,5
49,Female,No,446.0,2.0,40.0,3,3,2,3,3,1,1,1
65,Female,No,2092.0,25.0,7.0,3,4,3,3,3,4,4,4
41,Female,No,1560.0,11.0,36.0,3,1,4,1,3,5,3,1
60,Female,No,2079.0,8.0,29.0,3,3,3,3,5,1,4,1
48,Female,No,2522.0,5.0,2.0,4,3,2,3,3,3,1,3
34,Female,Yes,673.0,1.0,23.0,3,1,5,4,4,2,1,2
43,Female,No,427.0,10.0,15.0,5,4,2,4,4,4,1,4
37,Female,No,592.0,10.0,1.0,2,2,4,3,3,2,3,2
35,Male,No,561.0,21.0,3.0,4,4,2,3,5,4,4,5
29,Female,No,486.0,39.0,2.0,2,3,5,4,5,4,1,2
38,Male,Yes,530.0,5.0,28.0,4,4,2,5,3,3,4,4
57,Male,Yes,448.0,7.0,0.0,3,3,3,4,4,3,3,4
38,Male,No,3300.0,0.0,26.0,4,2,3,4,3,2,3,3
38,Male,No,2932.0,15.0,7.0,2,3,4,3,3,4,2,3
27,Male,No,610.0,3.0,14.0,5,3,3,5,5,4,2,4
45,Male,No,2540.0,6.0,33.0,3,2,2,3,4,3,2,1
24,Male,No,2548.0,5.0,8.0,2,2,4,2,4,5,1,1
38,Male,Yes,2202.0,5.0,12.0,4,4,5,2,4,3,5,2
43,Male,Yes,633.0,8.0,3.0,1,2,4,1,5,5,1,1
20,Female,Yes,358.0,11.0,11.0,3,3,5,3,3,1,4,2
34,Female,Yes,376.0,7.0,9.0,1,1,4,1,4,4,3,1
23,Female,No,1987.0,29.0,5.0,3,2,3,2,4,5,5,1
64,Female,No,684.0,6.0,11.0,3,5,4,4,4,3,2,4
27,Male,Yes,283.0,7.0,19.0,1,1,2,1,5,5,4,1
36,Female,Yes,410.0,8.0,10.0,1,3,4,4,3,4,1,3
33,Female,No,327.0,4.0,4.0,3,3,3,2,3,4,2,1
28,Female,Yes,2369.0,5.0,4.0,4,5,3,1,4,3,3,2
31,Male,No,589.0,2.0,6.0,2,3,3,2,4,2,1,1
30,Female,No,440.0,1.0,9.0,2,4,4,4,4,2,1,1
37,Female,Yes,1917.0,34.0,1.0,4,4,5,4,3,3,1,4
32,Male,No,425.0,9.0,2.0,4,3,4,2,2,3,1,2
28,Male,No,2907.0,32.0,1.0,3,3,2,5,3,4,3,2
28,Female,Yes,3000.0,12.0,5.0,5,5,5,3,4,3,3,5
40,Female,No,3042.0,2.0,20.0,2,2,3,4,1,4,2,1
27,Female,No,304.0,22.0,20.0,5,4,3,4,4,2,2,3
42,Female,No,2732.0,9.0,12.0,4,3,4,5,5,3,4,3
47,Male,No,622.0,0.0,2.0,3,4,1,2,1,4,3,1
26,Female,Yes,927.0,11.0,16.0,2,3,3,3,3,4,3,1
47,Female,No,509.0,0.0,10.0,2,1,1,2,3,3,1,2
40,Female,Yes,635.0,17.0,5.0,3,2,3,2,3,3,4,3
45,Female,No,549.0,10.0,6.0,5,5,3,5,3,4,4,5
34,Male,No,294.0,1.0,7.0,4,2,2,5,5,3,1,3
50,Female,No,575.0,2.0,0.0,2,3,4,2,3,4,1,2
35,Male,No,2596.0,6.0,0.0,3,3,1,3,4,2,3,2
33,Female,Yes,2648.0,47.0,10.0,2,2,2,2,5,3,2,1
38,Male,Yes,485.0,20.0,2.0,3,4,4,3,4,3,1,5
41,Female,No,703.0,8.0,18.0,5,5,4,3,3,3,5,4
58,Male,Yes,1364.0,15.0,3.0,2,2,1,4,2,2,1,2
29,Female,No,1977.0,7.0,3.0,2,3,3,4,3,5,4,3
45,Male,No,377.0,11.0,20.0,4,4,3,4,5,4,1,2
38,Female,Yes,636.0,4.0,1.0,4,5,5,1,1,3,1,4
32,Female,No,1970.0,9.0,26.0,4,3,4,3,3,5,1,1
37,Female,No,375.0,12.0,33.0,5,5,2,5,3,3,3,3
29,Male,No,2547.0,59.0,3.0,4,2,3,2,4,4,3,1
33,Male,No,2425.0,0.0,10.0,2,3,4,2,4,4,1,4
37,Female,Yes,432.0,15.0,15.0,3,2,5,2,4,4,1,2
22,Female,Yes,790.0,6.0,1.0,4,5,4,3,4,2,4,4
40,Female,Yes,478.0,14.0,12.0,1,3,4,3,4,3,2,1
37,Male,No,2559.0,1.0,6.0,4,5,2,5,4,4,1,5
25,Female,No,436.0,7.0,12.0,2,2,4,4,5,4,1,2
35,Female,No,387.0,1.0,6.0,1,2,4,1,4,3,4,1
38,Male,Yes,523.0,1.0,15.0,1,1,2,2,2,5,2,1
24,Female,Yes,546.0,0.0,61.0,3,3,3,3,2,2,4,2
43,Female,No,746.0,17.0,23.0,2,3,3,1,4,4,1,1
48,Male,No,2578.0,2.0,6.0,3,5,2,2,4,4,3,4
31,Male,No,676.0,13.0,13.0,5,2,5,3,4,4,5,2
31,Female,Yes,2550.0,3.0,5.0,2,2,4,3,5,3,1,3
35,Female,Yes,1973.0,25.0,7.0,4,5,4,5,5,3,1,5
33,Male,Yes,1860.0,14.0,1.0,2,3,3,3,5,4,3,2
41,Male,Yes,667.0,16.0,5.0,2,2,3,3,5,3,4,2
24,Male,No,425.0,9.0,0.0,3,3,2,3,3,4,4,2
39,Male,No,401.0,1.0,8.0,2,3,3,2,4,4,5,3
31,Male,No,371.0,11.0,5.0,1,1,1,3,5,2,2,1
22,Female,No,2196.0,3.0,1.0,1,3,4,1,4,4,2,1
40,Male,No,596.0,23.0,16.0,2,1,3,4,4,2,4,1
48,Male,Yes,2932.0,25.0,13.0,2,2,4,3,3,2,5,1
36,Female,No,2807.0,3.0,4.0,3,3,4,3,2,4,3,2
28,Male,No,347.0,0.0,9.0,2,3,1,2,3,4,4,1
50,Male,No,313.0,2.0,3.0,5,5,3,5,3,2,1,4
45,Female,No,2803.0,3.0,4.0,3,3,3,2,5,3,1,1
34,Female,No,268.0,8.0,10.0,2,2,3,1,2,3,1,1
22,Female,Yes,488.0,1.0,0.0,3,1,4,2,1,2,4,2
26,Female,Yes,238.0,6.0,0.0,1,2,4,1,4,3,3,1
24,Male,No,337.0,1.0,2.0,4,4,5,4,3,4,1,4
41,Male,No,203.0,0.0,12.0,5,4,2,5,5,5,1,5
41,Female,No,402.0,20.0,4.0,2,4,5,3,4,4,2,2
22,Male,No,2371.0,3.0,12.0,2,1,4,1,4,4,1,2
35,Female,No,677.0,1.0,23.0,5,4,1,3,4,4,2,3
25,Male,Yes,786.0,1.0,6.0,5,5,1,5,4,1,4,3
37,Female,No,2717.0,1.0,4.0,3,4,4,3,4,3,1,3
36,Female,Yes,3185.0,8.0,8.0,4,5,4,3,3,4,4,4
46,Male,Yes,609.0,18.0,2.0,3,2,5,3,4,4,4,3
36,Female,Yes,688.0,2.0,5.0,1,1,4,1,4,3,2,1
35,Female,No,244.0,8.0,9.0,5,3,4,5,3,5,1,4
19,Male,Yes,252.0,3.0,14.0,1,2,3,1,5,3,4,1
29,Male,Yes,2637.0,16.0,0.0,1,4,1,2,4,3,4,1
30,Male,Yes,368.0,1.0,29.0,2,2,5,1,3,3,4,1
22,Female,No,732.0,4.0,37.0,2,4,4,2,5,4,3,2
40,Female,No,403.0,3.0,6.0,1,1,2,3,4,4,1,1
51,Male,Yes,384.0,8.0,12.0,3,4,2,3,4,3,4,2
29,Female,Yes,472.0,8.0,0.0,4,2,3,5,3,3,1,5
35,Male,No,601.0,24.0,21.0,4,4,2,2,3,3,3,1
37,Female,Yes,330.0,14.0,3.0,3,2,2,3,3,4,3,1
46,Male,No,434.0,7.0,8.0,2,3,1,4,4,4,3,3
19,Male,No,2491.0,1.0,8.0,5,5,4,4,3,4,4,5
35,Female,No,562.0,9.0,2.0,3,3,3,3,1,5,2,5
27,Male,Yes,457.0,4.0,16.0,2,1,3,3,5,4,2,2
52,Female,No,3253.0,8.0,1.0,5,3,4,5,3,5,1,4
46,Female,Yes,2376.0,11.0,1.0,1,1,2,1,5,2,2,1
48,Female,No,2591.0,3.0,23.0,2,4,4,2,5,5,2,3
37,Female,No,2507.0,5.0,4.0,3,3,2,1,5,1,1,2
45,Male,Yes,653.0,25.0,5.0,1,1,3,1,4,3,2,1
50,Female,No,179.0,5.0,2.0,3,4,3,2,4,4,4,3
33,Female,Yes,2652.0,3.0,0.0,4,5,2,2,3,3,5,5
57,Male,No,484.0,4.0,1.0,4,2,3,1,3,4,1,2
54,Female,No,233.0,22.0,17.0,1,3,2,2,2,4,1,1
29,Female,No,377.0,2.0,13.0,5,4,1,3,4,4,1,4
21,Female,No,2483.0,6.0,13.0,2,2,4,4,3,1,4,1
55,Female,No,2642.0,13.0,3.0,5,3,4,4,4,3,3,4
30,Male,No,597.0,1.0,1.0,4,3,2,4,3,5,3,2
21,Male,No,178.0,23.0,23.0,3,4,4,4,4,4,1,1
25,Male,Yes,425.0,14.0,0.0,4,1,5,4,1,3,1,4
30,Female,No,352.0,0.0,18.0,4,4,3,5,3,2,1,5
25,Female,No,468.0,3.0,1.0,2,3,4,2,3,3,1,1
43,Female,No,557.0,1.0,7.0,1,2,4,1,3,3,1,1
20,Male,No,437.0,21.0,14.0,4,4,5,5,4,2,1,3
38,Male,Yes,2587.0,6.0,19.0,5,5,1,5,5,5,4,5
25,Female,Yes,572.0,20.0,9.0,4,4,2,5,3,4,4,2
31,Female,No,786.0,5.0,4.0,1,3,3,4,4,3,1,1
31,Female,No,505.0,9.0,17.0,5,1,4,3,4,4,4,3
28,Male,No,2429.0,6.0,1.0,1,3,2,2,3,3,3,1
26,Male,No,2236.0,7.0,1.0,3,3,5,2,3,4,1,5
37,Female,No,2352.0,9.0,3.0,3,2,2,5,2,1,2,1
26,Female,No,285.0,6.0,64.0,4,4,5,3,5,3,1,1
33,Female,No,536.0,12.0,5.0,4,5,3,4,3,3,1,4
44,Female,No,2449.0,1.0,8.0,5,5,3,4,4,3,1,5
55,Female,Yes,583.0,14.0,6.0,4,3,4,2,3,3,2,3
37,Male,No,609.0,8.0,10.0,5,5,2,3,3,3,2,4
43,Female,Yes,2997.0,21.0,3.0,3,4,4,1,1,3,3,1
24,Female,Yes,507.0,19.0,4.0,4,3,3,2,2,4,4,2
38,Female,No,839.0,1.0,0.0,4,3,4,2,3,4,2,2
60,Male,Yes,619.0,4.0,3.0,4,5,1,5,4,3,1,5
44,Male,No,645.0,9.0,8.0,4,4,5,3,3,2,2,5
25,Male,No,1706.0,2.0,6.0,5,4,3,4,3,4,3,4
43,Female,Yes,2191.0,9.0,7.0,5,4,4,5,3,4,3,4
27,Female,Yes,624.0,30.0,7.0,3,3,4,2,4,3,3,1
33,Male,Yes,571.0,34.0,4.0,5,5,3,3,4,3,2,5
23,Female,No,393.0,8.0,3.0,3,1,4,2,4,3,2,2
59,Male,Yes,694.0,37.0,30.0,1,2,3,3,2,5,3,1
30,Female,Yes,442.0,6.0,5.0,1,2,3,2,4,3,4,1
18,Female,Yes,2719.0,4.0,6.0,3,5,3,5,1,4,1,3
31,Male,Yes,2703.0,13.0,1.0,5,3,2,2,5,4,3,3
20,Female,No,806.0,8.0,11.0,1,2,1,4,3,4,4,2
34,Male,No,2256.0,1.0,4.0,3,5,2,5,5,3,4,5
28,Female,Yes,357.0,3.0,4.0,4,5,2,5,4,3,1,4
28,Female,No,425.0,2.0,1.0,3,1,2,2,2,3,1,2
29,Male,No,472.0,13.0,13.0,3,2,4,4,4,2,5,3
37,Female,Yes,806.0,19.0,15.0,2,3,5,4,3,2,4,1
37,Male,Yes,310.0,11.0,33.0,4,1,4,1,2,5,1,1
39,Female,No,282.0,13.0,23.0,3,4,2,5,5,2,4,3
54,Male,Yes,501.0,0.0,32.0,5,3,4,3,4,2,3,3
50,Female,No,2235.0,9.0,0.0,2,2,3,4,4,5,4,3
32,Male,No,3009.0,30.0,42.0,5,3,1,4,4,4,2,2
35,Male,Yes,3404.0,0.0,11.0,2,4,1,2,3,4,1,1
25,Male,No,517.0,22.0,4.0,5,3,2,4,3,3,3,3
24,Male,No,3008.0,4.0,0.0,3,3,3,1,4,3,1,1
59,Male,Yes,3108.0,5.0,7.0,3,3,1,3,3,4,1,1
30,Male,Yes,261.0,21.0,2.0,3,1,5,1,2,2,2,1
71,Female,No,3147.0,11.0,35.0,5,5,1,5,1,4,4,3
55,Female,No,519.0,3.0,0.0,5,5,4,5,1,4,1,4
22,Female,Yes,2706.0,25.0,28.0,4,5,3,1,5,1,2,1
21,Female,No,550.0,8.0,6.0,1,2,2,5,2,4,4,1
29,Female,No,2741.0,10.0,2.0,1,1,2,1,3,3,2,1
33,Female,No,2221.0,19.0,1.0,2,5,3,3,4,2,3,1
36,Female,Yes,2932.0,3.0,10.0,5,4,4,5,1,3,2,5
53,Female,No,296.0,4.0,14.0,4,3,4,1,4,3,1,1
23,Female,No,706.0,4.0,19.0,1,3,3,2,4,4,2,2
29,Female,No,402.0,2.0,4.0,1,2,4,1,3,5,4,1
25,Female,Yes,505.0,11.0,1.0,4,5,5,5,3,3,3,5
61,Female,No,691.0,3.0,8.0,5,4,4,4,3,2,4,5
48,Female,Yes,2974.0,18.0,27.0,1,2,4,1,3,3,4,1
42,Female,No,558.0,2.0,18.0,1,2,5,2,3,4,4,2
52,Female,Yes,417.0,21.0,7.0,1,2,4,1,4,4,1,1
44,Female,No,705.0,14.0,2.0,4,4,4,3,2,3,4,5
22,Female,Yes,514.0,2.0,4.0,1,3,2,2,4,4,1,1
34,Male,Yes,481.0,24.0,6.0,5,3,4,5,3,3,4,4
19,Female,Yes,1420.0,20.0,37.0,5,5,5,5,3,3,3,4
24,Male,No,2760.0,1.0,0.0,4,1,3,3,3,3,1,2
23,Male,No,2650.0,10.0,14.0,5,5,4,5,4,4,4,5
38,Female,Yes,600.0,30.0,9.0,2,2,4,2,4,3,4,1
30,Male,No,306.0,13.0,15.0,1,1,3,2,3,5,2,1
22,Female,Yes,2658.0,8.0,36.0,3,3,4,5,1,4,1,2
35,Female,Yes,447.0,23.0,12.0,4,2,2,1,2,4,3,1
40,Female,Yes,200.0,2.0,23.0,4,1,3,5,3,3,2,4
40,Male,Yes,2991.0,2.0,1.0,3,3,2,4,3,3,4,5
39,Male,Yes,511.0,19.0,1.0,5,4,4,3,4,2,1,5
32,Female,Yes,505.0,32.0,14.0,5,3,4,4,3,5,3,2
31,Female,No,460.0,22.0,6.0,4,5,4,5,4,2,1,4
40,Female,Yes,1975.0,2.0,12.0,3,3,5,2,4,5,3,4
40,Female,Yes,664.0,9.0,2.0,2,2,2,2,4,4,1,1
34,Male,Yes,570.0,1.0,9.0,2,1,4,2,3,1,3,1
40,Female,No,1745.0,3.0,12.0,3,3,2,4,4,4,3,5
51,Male,Yes,2750.0,1.0,13.0,5,3,2,3,3,3,2,2
29,Female,No,444.0,22.0,3.0,2,1,4,3,4,5,1,1
29,Female,No,2224.0,3.0,2.0,1,2,5,2,3,2,2,1
53,Male,Yes,532.0,6.0,3.0,5,2,2,3,5,5,2,5
30,Male,Yes,573.0,3.0,20.0,2,2,2,3,4,1,2,2
31,Male,No,2610.0,3.0,9.0,3,5,3,4,4,5,5,5
37,Female,Yes,1926.0,2.0,10.0,4,4,4,3,4,4,1,3
24,Female,Yes,675.0,4.0,12.0,5,5,2,4,3,4,4,5
53,Female,No,1877.0,11.0,7.0,3,1,2,2,4,4,4,2
32,Female,No,2390.0,8.0,24.0,2,3,4,2,5,3,1,1
29,Male,No,429.0,2.0,12.0,2,3,2,1,4,4,1,1
43,Female,No,2848.0,3.0,8.0,4,2,2,2,3,3,1,2
49,Female,No,594.0,4.0,6.0,1,1,2,2,4,3,3,1
36,Female,No,2039.0,7.0,14.0,5,3,4,2,2,3,1,2
27,Male,Yes,524.0,8.0,13.0,1,3,4,1,4,2,3,1
21,Female,Yes,451.0,9.0,21.0,2,4,3,3,4,3,1,1
22,Female,No,2623.0,9.0,3.0,3,4,4,5,5,3,3,4
39,Male,No,2486.0,56.0,9.0,3,2,3,4,2,5,3,1
47,Male,No,318.0,3.0,6.0,3,3,2,5,2,4,2,4
23,Female,No,2244.0,6.0,22.0,1,3,3,1,4,4,2,1
27,Male,Yes,393.0,9.0,2.0,2,3,2,3,3,5,3,3
34,Male,No,601.0,15.0,4.0,5,4,1,4,5,5,2,5
42,Male,Yes,201.0,3.0,14.0,1,4,4,2,3,3,2,2
45,Male,Yes,485.0,9.0,1.0,2,3,2,3,3,3,3,1
36,Female,No,645.0,6.0,14.0,4,3,2,4,3,4,2,4
51,Male,No,372.0,10.0,18.0,3,2,4,2,4,3,3,2
24,Female,No,630.0,10.0,5.0,4,3,2,3,4,5,3,4
39,Female,No,511.0,20.0,8.0,2,2,4,3,3,3,3,1
47,Female,No,1940.0,5.0,11.0,3,3,1,3,2,4,1,3
41,Female,No,1878.0,16.0,2.0,3,1,4,3,4,4,1,1
47,Female,Yes,259.0,14.0,2.0,1,1,2,1,3,2,2,1
28,Male,No,1648.0,10.0,25.0,5,5,4,5,3,3,2,4
41,Female,Yes,2436.0,3.0,7.0,4,1,5,4,1,1,3,2
25,Female,Yes,2463.0,8.0,5.0,1,5,1,2,4,5,3,1
24,Female,No,2172.0,2.0,4.0,5,4,4,4,5,5,1,4
24,Female,No,2539.0,5.0,19.0,3,3,4,2,2,3,2,1
39,Male,No,2667.0,27.0,15.0,1,1,5,1,4,3,2,1
27,Male,Yes,638.0,21.0,7.0,5,3,2,3,1,5,2,2
35,Male,No,3302.0,8.0,31.0,2,4,4,2,4,3,3,3
26,Female,No,416.0,5.0,8.0,5,5,2,4,2,3,4,3
31,Female,No,578.0,16.0,18.0,4,4,2,2,4,2,3,1
